validation,model,feature_set,fold,class_code,class_name,precision,recall,f1,support
spatial_5fold,Random Forest,bands_plus_indices,2,80,Permanent water,0.9681978798586572,0.9742222222222222,0.9712007089056269,1125
spatial_5fold,Random Forest,bands_plus_indices,3,10,Tree cover,0.8662533215234721,0.8274111675126904,0.8463868455214193,1182
spatial_5fold,Random Forest,bands_plus_indices,3,30,Grassland,0.7678571428571429,0.8218940052128584,0.7939571968107427,1151
spatial_5fold,Random Forest,bands_plus_indices,3,40,Cropland,0.9099437148217636,0.8283518360375747,0.8672329012069736,1171
spatial_5fold,Random Forest,bands_plus_indices,3,50,Built-up,0.8738800827015851,0.9262235208181154,0.8992907801418439,1369
spatial_5fold,Random Forest,bands_plus_indices,3,80,Permanent water,0.9772344013490725,0.9731318219983207,0.9751787968026925,1191
spatial_5fold,Random Forest,bands_plus_indices,4,10,Tree cover,0.8438409311348206,0.7952468007312614,0.8188235294117647,1094
spatial_5fold,Random Forest,bands_plus_indices,4,30,Grassland,0.7910780669144981,0.800601956358164,0.7958115183246073,1329
spatial_5fold,Random Forest,bands_plus_indices,4,40,Cropland,0.9069767441860465,0.8493031358885017,0.8771929824561403,1148
spatial_5fold,Random Forest,bands_plus_indices,4,50,Built-up,0.821882951653944,0.9202279202279202,0.8682795698924731,1053
spatial_5fold,Random Forest,bands_plus_indices,4,80,Permanent water,0.9841017488076311,0.9794303797468354,0.9817605075337034,1264
spatial_5fold,Random Forest,bands_plus_indices,5,10,Tree cover,0.8834710743801653,0.8504375497215593,0.866639643291447,1257
spatial_5fold,Random Forest,bands_plus_indices,5,30,Grassland,0.7647058823529411,0.7954337899543379,0.7797672336615935,1095
spatial_5fold,Random Forest,bands_plus_indices,5,40,Cropland,0.9037102473498233,0.8461538461538461,0.8739854762921828,1209
spatial_5fold,Random Forest,bands_plus_indices,5,50,Built-up,0.8857142857142857,0.9290220820189274,0.9068514241724404,1268
spatial_5fold,Random Forest,bands_plus_indices,5,80,Permanent water,0.9735576923076923,0.9878048780487805,0.9806295399515739,1230
spatial_5fold,HistGradientBoosting,bands_plus_indices,1,10,Tree cover,0.8774617067833698,0.8692196531791907,0.8733212341197822,1384
spatial_5fold,HistGradientBoosting,bands_plus_indices,1,30,Grassland,0.8247041420118343,0.8383458646616542,0.8314690529455631,1330
spatial_5fold,HistGradientBoosting,bands_plus_indices,1,40,Cropland,0.9146005509641874,0.8706293706293706,0.8920734437975817,1144
spatial_5fold,HistGradientBoosting,bands_plus_indices,1,50,Built-up,0.8496042216358839,0.9011194029850746,0.8746038931643277,1072
spatial_5fold,HistGradientBoosting,bands_plus_indices,1,80,Permanent water,0.982066609735269,0.9663865546218487,0.9741634900465904,1190
